epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8389,0.33602,0.76338,0.97707,0.69217,0.78171,0.78437,0.7174,0.43648,0.74859,1.26921,0.000368578,0.000368578,0.000368578
2,117.519,0.34825,0.7364,0.97885,0.68648,0.80657,0.78978,0.718,0.49426,0.82464,1.34431,0.000720623,0.000720623,0.000720623
3,176.265,0.36095,0.77497,0.98251,0.65372,0.82336,0.79156,0.70719,0.50476,0.89624,1.38841,0.00105434,0.00105434,0.00105434
4,224.635,0.37006,0.79847,0.98581,0.65318,0.76708,0.76219,0.69818,0.43297,0.79932,1.24199,0.00102851,0.00102851,0.00102851
5,268.839,0.37752,0.79839,0.98988,0.69383,0.78983,0.78112,0.70711,0.49146,0.81292,1.33009,0.00100101,0.00100101,0.00100101
6,326.518,0.37566,0.80353,0.98931,0.64746,0.85317,0.79612,0.71629,0.47376,0.78751,1.30663,0.000973514,0.000973514,0.000973514
7,367.727,0.3652,0.78418,0.98775,0.69988,0.79207,0.79204,0.72026,0.41935,0.70757,1.24039,0.000946016,0.000946016,0.000946016
8,402.464,0.3661,0.78876,0.98712,0.58449,0.83842,0.74084,0.65304,0.571,1.02158,1.42421,0.000918519,0.000918519,0.000918519
9,446.694,0.36692,0.77912,0.98878,0.62438,0.82023,0.75941,0.70424,0.42619,0.78426,1.24823,0.000891022,0.000891022,0.000891022
10,498.945,0.36111,0.78436,0.98428,0.7139,0.77708,0.77829,0.69944,0.4748,0.80469,1.33833,0.000863525,0.000863525,0.000863525
11,537.18,0.35245,0.7669,0.98017,0.71019,0.78838,0.76977,0.69376,0.45083,0.87869,1.27427,0.000836027,0.000836027,0.000836027
12,573.671,0.36013,0.77461,0.98422,0.65311,0.81705,0.77436,0.70809,0.47759,0.82822,1.30451,0.00080853,0.00080853,0.00080853
13,616.135,0.35395,0.74728,0.98245,0.72138,0.77501,0.78136,0.69465,0.49914,0.799,1.35692,0.000781033,0.000781033,0.000781033
14,673.487,0.35244,0.74607,0.98228,0.67593,0.78114,0.78371,0.70875,0.44404,0.78945,1.26875,0.000753536,0.000753536,0.000753536
15,720.017,0.34102,0.72838,0.97849,0.68565,0.76453,0.78944,0.71824,0.45954,0.75138,1.29633,0.000726038,0.000726038,0.000726038
16,754.338,0.34899,0.74138,0.98263,0.613,0.83999,0.80176,0.74977,0.39029,0.75156,1.2165,0.000698541,0.000698541,0.000698541
17,789.047,0.33751,0.72339,0.97684,0.71996,0.79985,0.82254,0.75432,0.43179,0.67777,1.27854,0.000671044,0.000671044,0.000671044
18,823.828,0.33807,0.72638,0.97863,0.67705,0.80045,0.7881,0.72217,0.4118,0.74335,1.24021,0.000643547,0.000643547,0.000643547
19,858.199,0.33746,0.71774,0.97731,0.74858,0.77801,0.81274,0.74086,0.48512,0.78442,1.3354,0.000616049,0.000616049,0.000616049
20,892.656,0.33914,0.71339,0.97768,0.70742,0.76517,0.80553,0.73964,0.45987,0.80708,1.28787,0.000588552,0.000588552,0.000588552
21,929.558,0.32746,0.71036,0.97118,0.73849,0.75953,0.78835,0.72018,0.49701,0.88148,1.34014,0.000561055,0.000561055,0.000561055
22,979.711,0.32802,0.69597,0.97549,0.67309,0.80914,0.79809,0.73816,0.37646,0.74797,1.20672,0.000533558,0.000533558,0.000533558
23,1029.25,0.32374,0.68453,0.97217,0.70758,0.75774,0.80743,0.74038,0.45288,0.77048,1.28855,0.00050606,0.00050606,0.00050606
24,1075.69,0.31864,0.6762,0.97191,0.66547,0.79414,0.79075,0.73127,0.38171,0.82903,1.22162,0.000478563,0.000478563,0.000478563
25,1115.8,0.32167,0.6752,0.97145,0.7158,0.7752,0.7951,0.73046,0.43121,0.76485,1.25533,0.000451066,0.000451066,0.000451066
26,1167.12,0.32646,0.67952,0.97101,0.72268,0.81014,0.79362,0.71597,0.51125,0.81161,1.34535,0.000423569,0.000423569,0.000423569
27,1224.69,0.31425,0.66676,0.96997,0.67028,0.81003,0.79366,0.73548,0.42032,0.7547,1.25948,0.000396071,0.000396071,0.000396071
28,1282.06,0.31296,0.67057,0.96677,0.66735,0.83996,0.80148,0.73355,0.47301,0.77127,1.31357,0.000368574,0.000368574,0.000368574
29,1339.55,0.30865,0.65315,0.96821,0.78231,0.75582,0.82581,0.75787,0.44449,0.67942,1.29091,0.000341077,0.000341077,0.000341077
30,1397.32,0.30327,0.64683,0.96612,0.67888,0.78751,0.7878,0.71573,0.46646,0.84888,1.30907,0.00031358,0.00031358,0.00031358
31,1477.18,0.18282,0.49043,0.95789,0.66487,0.83804,0.78592,0.72109,0.47817,0.79882,1.32771,0.000286083,0.000286083,0.000286083
32,1534.74,0.18063,0.45963,0.95108,0.71046,0.78111,0.78833,0.72402,0.44566,0.74654,1.28286,0.000258585,0.000258585,0.000258585
33,1592.21,0.17498,0.44413,0.9599,0.70338,0.79824,0.79116,0.72422,0.46968,0.79304,1.33393,0.000231088,0.000231088,0.000231088
34,1649.67,0.17646,0.43909,0.95385,0.69383,0.80643,0.79308,0.72728,0.4709,0.81531,1.31933,0.000203591,0.000203591,0.000203591
35,1707.11,0.16569,0.4041,0.95433,0.71541,0.77384,0.80376,0.74708,0.43074,0.74561,1.25906,0.000176094,0.000176094,0.000176094
36,1764.87,0.16639,0.41163,0.95294,0.67703,0.80132,0.77987,0.71589,0.45656,0.92319,1.30774,0.000148596,0.000148596,0.000148596
37,1822.42,0.16664,0.37033,0.94962,0.75072,0.74718,0.81639,0.74936,0.4392,0.74963,1.289,0.000121099,0.000121099,0.000121099
38,1879.92,0.16344,0.37774,0.9529,0.71152,0.79886,0.80259,0.73971,0.45417,0.79825,1.29436,9.36017e-05,9.36017e-05,9.36017e-05
39,1937.31,0.15926,0.35908,0.9473,0.72002,0.78685,0.79074,0.72236,0.47477,0.88168,1.32722,6.61045e-05,6.61045e-05,6.61045e-05
40,1994.83,0.15907,0.34095,0.94544,0.73602,0.77335,0.80576,0.73716,0.46302,0.80684,1.31571,3.86073e-05,3.86073e-05,3.86073e-05
